facility_id,facility_name,category_main,category_detail,address,gu_name,dong_name,capacity,source_file,lon,lat,road_address,jibun_address,geocode_status,geocode_provider,geocode_query,geocode_error,geocode_sido,geocode_gu,geocode_dong,kakao_address_type,kakao_h_code,kakao_b_code,kakao_building_name,kakao_zone_no,grid_id,grid_id_50m
L-A7046,강서구립곰달래어르신복지센터,여가,(노인복지시설) 노인복지관(소규모),서울특별시 강서구 화곡동 890번지,강서구,화곡동,,04_노인여가복지시설.csv,126.848908049873,37.5290456595599,서울 강서구 강서로5길 50,서울 강서구 화곡동 890,OK,kakao,서울특별시 강서구 화곡동 890번지,,서울,강서구,화곡8동,REGION_ADDR,1150059300.0,1150010300.0,복지문화센터및공영주차장,7781.0,U-8,G50-00423-00192
L-A7146,구로노인종합복지관,여가,(노인복지시설) 노인복지관,서울특별시 구로구 새말로16길 25 번지 7 호,구로구,구로5동,,04_노인여가복지시설.csv,126.89097682707,37.5045423551684,서울 구로구 새말로16길 25,서울 구로구 구로동 30-35,OK,kakao,서울특별시 구로구 새말로16길 25번지 7호,,서울,구로구,구로5동,ROAD_ADDR,1153056000.0,1153010200.0,,8289.0,X-12,G50-00478-00266
L-A7296,왕십리도선동노인복지관,여가,(노인복지시설) 노인복지관,"서울특별시 성동구 마장로 141 (상왕십리동, 왕십리도선동 복합청사 노인복지센터)",성동구,성동,,04_노인여가복지시설.csv,127.025530039097,37.5678768166342,서울 성동구 마장로 141,서울 성동구 상왕십리동 813,OK,kakao,"서울특별시 성동구 마장로 141 (상왕십리동, 왕십리도선동 복합청사 노인복지센터)",,서울,성동구,왕십리도선동,ROAD_ADDR,1120053500.0,1120010100.0,왕십리도선동 공공복합청사,4700.0,Q-24,G50-00337-00504
L-A7577,서울특별시립강동노인종합복지관,여가,(노인복지시설) 노인복지관,서울특별시 강동구 동남로71길 32-5 (명일동),강동구,명일동,,04_노인여가복지시설.csv,127.15462055421,37.5522111843463,서울 강동구 동남로71길 32-5,서울 강동구 명일동 48-10,OK,kakao,서울특별시 강동구 동남로71길 32-5 (명일동),,서울,강동구,명일2동,ROAD_ADDR,1174054000.0,1174010100.0,강동노인종합복지관,5269.0,S-35,G50-00372-00732
L-A7727,송파복지센터,여가,(노인복지시설) 노인복지관(소규모),서울특별시 송파구 충민로 184 (장지동),송파구,장지동,,04_노인여가복지시설.csv,127.134322169385,37.4857949194391,서울 송파구 충민로 184,서울 송파구 장지동 850-2,OK,kakao,서울특별시 송파구 충민로 184 (장지동),,서울,송파구,장지동,ROAD_ADDR,1171064600.0,1171010900.0,구립송파노인요양센터,5792.0,Z-33,G50-00519-00696
L-A7958,구립응암노인복지관,여가,(노인복지시설) 노인복지관(소규모),서울특별시 은평구 응암로21가길 5-1 (응암동),은평구,응암동,,04_노인여가복지시설.csv,126.91677314154,37.5945815458294,서울 은평구 응암로21가길 5-1,서울 은평구 응암동 126-46,OK,kakao,서울특별시 은평구 응암로21가길 5-1 (응암동),,서울,은평구,응암3동,ROAD_ADDR,1138060000.0,1138010700.0,,3456.0,N-14,G50-00278-00312
L-A8780,강남구립 논현노인종합복지관,여가,(노인복지시설) 노인복지관,서울특별시 강남구 강남대로128길 59 (논현동),강남구,논현동,,04_노인여가복지시설.csv,127.026088997835,37.5120654214586,서울 강남구 강남대로128길 59,서울 강남구 논현동 125-13,OK,kakao,서울특별시 강남구 강남대로128길 59 (논현동),,서울,강남구,논현1동,ROAD_ADDR,1168052100.0,1168010800.0,논현노인종합복지관,6111.0,W-24,G50-00461-00505
L-A9358,구립불광노인복지관,여가,(노인복지시설) 노인복지관,서울특별시 은평구 연서로32길 17-11 (불광동),은평구,불광동,,04_노인여가복지시설.csv,126.924863251654,37.6194805035861,서울 은평구 연서로32길 17-11,서울 은평구 불광동 339-13,OK,kakao,서울특별시 은평구 연서로32길 17-11 (불광동),,서울,은평구,불광1동,ROAD_ADDR,1138052000.0,1138010300.0,불광동 노인복지센터,3349.0,K-15,G50-00223-00326
L-A9619,강서구립화곡노인복지센터,여가,(노인복지시설) 노인복지관(소규모),서울특별시 강서구 월정로30길 963층~5층,강서구,화곡동,,04_노인여가복지시설.csv,126.839068466822,37.5348546551675,서울 강서구 월정로30길,,OK,kakao,서울특별시 강서구 월정로30길,,서울,강서구,화곡동,ROAD,,,,,U-7,G50-00411-00174
L-A9646,강서구립연지노인복지센터,여가,(노인복지시설) 노인복지관(소규모),서울특별시 강서구 화곡로58길 30-7,강서구,화곡6동,,04_노인여가복지시설.csv,126.85266278742,37.5524146622014,서울 강서구 화곡로58길 30-7,서울 강서구 화곡동 1121-19,OK,kakao,서울특별시 강서구 화곡로58길 30-7,,서울,강서구,화곡6동,ROAD_ADDR,1150059100.0,1150010300.0,,7657.0,S-8,G50-00372-00198
