,intersection_density_200m,road_complexity_200m,deadend_count,is_residential,rest_count_within_200m,has_park_within_200m,cctv_count_within_200m,facility_count_within_500m,pop_65plus_per_grid,추정치매환자수_총합,INFRASTRUCTURE,STORE,POPULATION,SALES,slope,치매센터수,missing_estimated,risk_score
intersection_density_200m,1.0,0.9804367036784016,0.18338082974487577,0.12081672729439698,0.048698484135537255,0.007040123809340495,0.1341247101536494,0.08795622888093421,-0.03574296564554811,-0.01248077918528294,0.08908599101400967,0.08864402493206651,0.07313966157894039,0.06570058056045755,-0.10872771135311038,0.0019798510816177862,0.015623759921678684,0.26339779169665206
road_complexity_200m,0.9804367036784016,1.0,0.22507272994838143,0.13832933251493165,0.06523253069562755,0.004587179577891504,0.13010169911320862,0.09036375896724945,-0.034224438851416294,-0.011067381392835134,0.0860048774069481,0.08570748049912495,0.07591072078176495,0.06568695087482034,-0.10707853971597352,0.0021595550777929826,0.009849750402556244,0.28036014982672136
deadend_count,0.18338082974487577,0.22507272994838143,1.0,0.024733195519542263,0.018982845842135956,-0.006989917776014304,-0.01580964185179264,-0.007044183904179106,-0.013286898492766446,-0.010845623422594675,0.006901180427034086,0.0050084735279242705,0.006709692747375793,0.009136960914083324,0.019514691184970144,-0.0017527151923507679,0.003705208088630405,0.3205878502639655
is_residential,0.12081672729439698,0.13832933251493165,0.024733195519542263,1.0,0.2186338098577092,-0.06802578955670162,0.09065862483530647,0.16032581178688288,0.07829638870717517,0.05477320880118281,0.042892499104709,0.01845607957839676,0.35582631229559564,0.05381361676293897,-0.0557078044504241,-0.0001828343435261466,-0.046243225148616326,0.3912875361671781
rest_count_within_200m,0.048698484135537255,0.06523253069562755,0.018982845842135956,0.2186338098577092,1.0,0.036670444976793996,0.07819262096687053,0.14061695624469134,0.20190944881593148,0.21372505840688688,0.04922292407520049,0.095028270918978,0.1776260331127784,0.08945661387259278,-0.06494444541303845,0.006584445552464475,0.044206653881637366,0.3960959637104109
has_park_within_200m,0.007040123809340495,0.004587179577891504,-0.006989917776014304,-0.06802578955670162,0.036670444976793996,1.0,-0.010525623605579036,-0.039382257799173655,-0.01044025301473068,-0.011421921490457402,-0.027291976017753104,-0.03255096010858675,-0.04427666471946557,-0.03069942986439636,0.04355969503169787,-0.0021662049792021223,0.0300927851977163,0.16999286604384953
cctv_count_within_200m,0.1341247101536494,0.13010169911320862,-0.01580964185179264,0.09065862483530647,0.07819262096687053,-0.010525623605579036,1.0,0.14349978560146026,0.009212538854004922,0.16860082083526964,0.08268660146327196,0.08788957051454267,0.055763857880415546,0.05497402098224754,-0.0775245918219088,0.004673201549300324,0.02787985772704277,0.13244823757809904
facility_count_within_500m,0.08795622888093421,0.09036375896724945,-0.007044183904179106,0.16032581178688288,0.14061695624469134,-0.039382257799173655,0.14349978560146026,1.0,0.2569757825656981,0.2742905890324088,0.013674899941293166,0.06630114241578187,0.07121595808153938,0.016755790521262675,-0.07671396594728905,0.007557047984285292,0.011681713536784832,0.25430628778528025
pop_65plus_per_grid,-0.03574296564554811,-0.034224438851416294,-0.013286898492766446,0.07829638870717517,0.20190944881593148,-0.01044025301473068,0.009212538854004922,0.2569757825656981,1.0,0.9307612326678228,-0.12113136025213797,0.009386598133486681,-0.012940442254712012,-0.03424423064162382,-0.034584645662830656,0.0022245689340027715,0.1368136420973478,0.22260211511266778
추정치매환자수_총합,-0.01248077918528294,-0.011067381392835134,-0.010845623422594675,0.05477320880118281,0.21372505840688688,-0.011421921490457402,0.16860082083526964,0.2742905890324088,0.9307612326678228,1.0,-0.12478253368150603,0.00925151078883228,-0.015259128334040946,-0.04273543079862687,-0.016959728166338454,0.004277946070927775,0.1437398519220587,0.24085261301688995
INFRASTRUCTURE,0.08908599101400967,0.0860048774069481,0.006901180427034086,0.042892499104709,0.04922292407520049,-0.027291976017753104,0.08268660146327196,0.013674899941293166,-0.12113136025213797,-0.12478253368150603,1.0,0.8552458383581542,0.512582163845188,0.8422743682722792,-0.08752602167424514,0.01235505575847325,-0.15055226820652856,0.4962035917081817
STORE,0.08864402493206651,0.08570748049912495,0.0050084735279242705,0.01845607957839676,0.095028270918978,-0.03255096010858675,0.08788957051454267,0.06630114241578187,0.009386598133486681,0.00925151078883228,0.8552458383581542,1.0,0.4267299447008649,0.9120028946413561,-0.0886534772978521,0.01982417437597559,-0.05359702948359101,0.5155297094571774
POPULATION,0.07313966157894039,0.07591072078176495,0.006709692747375793,0.35582631229559564,0.1776260331127784,-0.04427666471946557,0.055763857880415546,0.07121595808153938,-0.012940442254712012,-0.015259128334040946,0.512582163845188,0.4267299447008649,1.0,0.45225998813056156,-0.08723797708538093,0.00766567970726331,-0.0855436169296993,0.5141062216406845
SALES,0.06570058056045755,0.06568695087482034,0.009136960914083324,0.05381361676293897,0.08945661387259278,-0.03069942986439636,0.05497402098224754,0.016755790521262675,-0.03424423064162382,-0.04273543079862687,0.8422743682722792,0.9120028946413561,0.45225998813056156,1.0,-0.09377691783601506,0.013271114934974532,-0.09226550041327952,0.4866293872586859
slope,-0.10872771135311038,-0.10707853971597352,0.019514691184970144,-0.0557078044504241,-0.06494444541303845,0.04355969503169787,-0.0775245918219088,-0.07671396594728905,-0.034584645662830656,-0.016959728166338454,-0.08752602167424514,-0.0886534772978521,-0.08723797708538093,-0.09377691783601506,1.0,-0.003244585828578396,0.025579329371774744,0.11672317293847594
치매센터수,0.0019798510816177862,0.0021595550777929826,-0.0017527151923507679,-0.0001828343435261466,0.006584445552464475,-0.0021662049792021223,0.004673201549300324,0.007557047984285292,0.0022245689340027715,0.004277946070927775,0.01235505575847325,0.01982417437597559,0.00766567970726331,0.013271114934974532,-0.003244585828578396,1.0,-0.000620959497226532,0.019060533941271714
missing_estimated,0.015623759921678684,0.009849750402556244,0.003705208088630405,-0.046243225148616326,0.044206653881637366,0.0300927851977163,0.02787985772704277,0.011681713536784832,0.1368136420973478,0.1437398519220587,-0.15055226820652856,-0.05359702948359101,-0.0855436169296993,-0.09226550041327952,0.025579329371774744,-0.000620959497226532,1.0,-0.018491685272008083
risk_score,0.26339779169665206,0.28036014982672136,0.3205878502639655,0.3912875361671781,0.3960959637104109,0.16999286604384953,0.13244823757809904,0.25430628778528025,0.22260211511266778,0.24085261301688995,0.4962035917081817,0.5155297094571774,0.5141062216406845,0.4866293872586859,0.11672317293847594,0.019060533941271714,-0.018491685272008083,1.0
