name,address,gu_raw,lon,lat,geocode_status
"3,644","(운영, 운영예정, 미운영, 휴지, 폐지 등 경로당포함 )",,,,api_fail
청운경로당,"종로구 필운대로 86, 1층(신교동)",종로구,126.96741478862,37.5835064339204,api_ok
세종마을경로당,종로구 옥인1길 12-2(옥인동),종로구,126.967980929122,37.5809838971191,api_ok
사직경로당,종로구 사직로9길 15-25(사직동),종로구,126.96558166702,37.5764705932926,api_ok
복정경로당,종로구 삼청로4길 22(삼청동),종로구,126.982103110872,37.5823871171244,api_ok
삼청경로당,종로구 삼청로5길 30(팔판동),종로구,126.98023229414,37.5830668885215,api_ok
부암경로당,종로구 자하문로 260(부암동),종로구,126.963460519525,37.5973621764507,api_ok
신영경로당,종로구 세검정로6길 76-19(신영동),종로구,126.963657678233,37.6012923595603,api_ok
구기할아버지경로당,종로구 진흥로 438-6(구기동),종로구,126.956508943684,37.607812389055,api_ok
구기할머니경로당,종로구 진흥로 438-8(구기동),종로구,126.956337334837,37.6078655741725,api_ok
평창경로당,종로구 평창문화로 48(평창동),종로구,126.966790216723,37.6053297190417,api_ok
금강경로당,종로구 평창24길 18(평창동),종로구,126.976719284076,37.6086920662728,api_ok
롯데아파트경로당,종로구 평창문화로 140(평창동),종로구,126.97542257662,37.6088822725209,api_ok
삼성아파트경로당,종로구 평창문화로 172(평창동),종로구,126.978411482369,37.6107990811866,api_ok
무악경로당,종로구 통일로14길 19(무악동),종로구,126.957761823794,37.5754157829424,api_ok
무악제2경로당,종로구 통일로 246-11(무악동),종로구,126.959127056362,37.5752130892527,api_ok
무악현대아파트경로당,종로구 통일로12길 51(무악동),종로구,126.961573946294,37.5747695405448,api_ok
인왕산아이파크경로당,종로구 통일로18길 9(무악동),종로구,126.955354901819,37.577670716764,api_ok
경희궁롯데캐슬아파트경로당,"종로구 통일로 230, 102동 1층(무악동, 경희궁롯데캐슬)",종로구,126.958628749004,37.574370395598,api_ok
교남경로당,종로구 사직로2길 8(행촌동),종로구,126.964389650297,37.5725962329065,api_ok
행촌경로당,종로구 인왕산로1길 58 (행촌동),종로구,126.963029647283,37.5753979986342,api_ok
은행나무경로당,종로구 통일로12길 60(행촌동),종로구,126.9619401764,37.5749531917902,api_ok
경희궁자이1단지경로당,"종로구 송월길 130(행촌동, 경희궁자이1단지)",종로구,126.964496455236,37.5722355967751,api_ok
경희궁자이2단지경로당,"종로구 송월길 99 (홍파동, 경희궁자이2단지)",종로구,126.962352257162,37.5708610950823,api_ok
경희궁자이3단지경로당,"종로구 경교장길 35(평동, 경희궁자이3단지)",종로구,126.965114852628,37.5688537151032,api_ok
가회경로당,종로구 북촌로 35(가회동),종로구,126.984789138464,37.5800508567549,api_ok
북촌경로당,종로구 북촌로 20-27(재동),종로구,126.985867007817,37.5788987996445,api_ok
계원경로당,종로구 창덕궁3가길 8(원서동),종로구,126.988493110859,37.5811220169465,api_ok
원서경로당,종로구 창덕궁길 94(원서동),종로구,126.989439938903,37.581680541322,api_ok
운니경로당,종로구 삼일대로32길 51(운니동),종로구,126.989836893341,37.5756334642274,api_ok
우정경로당,종로구 수표로22길 22(낙원동),종로구,126.99059331135,37.571216669767,api_ok
효성경로당,종로구 종로 183(인의동),종로구,126.998320034926,37.5714476873524,api_ok
종로5․6가경로당,종로구 종로35가길 19(효제동),종로구,127.005031333474,37.5720611697886,api_ok
충신경로당,종로구 율곡로22나길 21(충신동),종로구,127.004650309004,37.5739084052823,api_ok
충신어르신행복충전소경로당,종로구 낙산성곽서길 65-11(충신동),종로구,127.008139976284,37.5750504973602,api_ok
마로니에경로당,종로구 낙산1길 21(동숭동),종로구,127.005723788046,37.5811882115591,api_ok
이화경로당,종로구 이화장1나길 15(이화동),종로구,127.006752123113,37.5777333859407,api_ok
연건경로당,종로구 대학로5길 38 (연건동),종로구,127.000894576018,37.5788757659363,api_ok
동숭경로당,종로구 동숭4나길 29(동숭동),종로구,127.005791987824,37.5832429240199,api_ok
6․25참전유공자경로당,"종로구 율곡로19길 17-3, 1호 (이화동)",종로구,127.005538682271,37.5765540475394,api_ok
낙산등우회경로당,종로구 낙산성곽서길 184(창신동),종로구,127.008618966931,37.5802100069258,api_ok
혜명경로당,종로구 혜화로9길 24-9(명륜1가),종로구,126.99828309081,37.5880548969763,api_ok
명륜2․4가경로당,종로구 창경궁로26길 7(명륜4가),종로구,126.998136394522,37.5818949849387,api_ok
명륜3가경로당,종로구 성균관로 50 (명륜1가),종로구,126.996697448422,37.587111523876,api_ok
유림경로당,종로구 성균관로5길 25-13(명륜3가),종로구,126.99690316692,37.5844889190258,api_ok
와룡경로당,"종로구 명륜길 90, 2층(명륜3가)",종로구,126.993381790087,37.5906438158482,api_ok
아남아파트경로당,종로구 창경궁로 265(명륜2가),종로구,126.99960203377,37.585876127948,api_ok
창일경로당,종로구 종로54길 9-23(창신동),종로구,127.014841144177,37.5722084677232,api_ok
당고개경로당,종로구 종로53길 29(창신동),종로구,127.013206702781,37.5736880055091,api_ok
창신두산아파트경로당,종로구 지봉로5길 7(창신동),종로구,127.013834360919,37.5740774336835,api_ok
창락경로당,종로구 창신길 191-6(창신동),종로구,127.009452506097,37.5799555024534,api_ok
창신2경로당,"종로구 창신길 98, 2,3층(창신동)",종로구,,,api_fail
창인경로당,종로구 낙산성곽동길 70-3(창신동),종로구,127.00892117444,37.5787129829954,api_ok
온고회경로당,종로구 지봉로13길 14(창신동),종로구,127.014467533898,37.5789483137908,api_ok
창삼경로당,종로구 지봉로13길 82(창신동),종로구,127.012178617017,37.5771962285457,api_ok
쌍용A1단지경로당,종로구 동망산길 19(창신동),종로구,127.014194906011,37.5800313416279,api_ok
쌍용A2단지경로당,종로구 낙산길 198(창신동),종로구,127.011011705247,37.5803962235982,api_ok
숭인1상록경로당,"종로구 지봉로 86, 4층(숭인동)",종로구,127.015628142898,37.5778227340801,api_ok
종로센트레빌경로당,종로구 동망산길 47(숭인동),종로구,127.015738287163,37.5815574293752,api_ok
롯데캐슬천지인경로당,"종로구 종로 347, 천동 2층(숭인동)",종로구,127.016000015149,37.5740562569508,api_ok
숭인2경로당,종로구 종로66가길 35(숭인동),종로구,127.020048755292,37.5731178833384,api_ok
흥인경로당,"종로구 숭인동길 78-8, 2층(숭인동)",종로구,127.022186138068,37.5782529896328,api_ok
한마음경로당,"종로구 숭인동길 78-8, 1층(숭인동)",종로구,127.022186138068,37.5782529896328,api_ok
동원경로당,종로구 숭인동2길 28(숭인동),종로구,127.020247578461,37.5782968560689,api_ok
힐스테이트경로당,종로구 숭인동길 21(숭인동),종로구,127.020959405051,37.5757847596495,api_ok
소 공,서소문로11길 10 (서소문동),중구,126.97303291394,37.5633680930309,api_ok
덕수궁롯데캐슬아파트,"서소문로9길 28, 2층",중구,126.970042986983,37.5637084894676,api_ok
남대문5가,남대문로5가 626,중구,126.975067030759,37.5543474868438,api_ok
회 현,퇴계로12길89(회현동1가),중구,126.98196765623,37.5558334964529,api_ok
남산SK리더스뷰,퇴계로72(회현동1가) 3층,중구,126.980603849217,37.5591253443035,api_ok
남산 아이리스,"소공로35(회현동1가,남산롯데캐슬아이리스)4층",중구,,,api_fail
명 동,퇴계로20길25-26(남산동2가),중구,126.986348837339,37.5589821689783,api_ok
필 동,필동로11(필동2가),중구,126.996212625724,37.5604691820452,api_ok
장 충,동호로25길38(장충동2가),중구,127.001561422603,37.5594224542019,api_ok
공원장충,동호로257-10(장충동2가),중구,127.003951375315,37.5583607535025,api_ok
묵 정,퇴계로45길 32-12,중구,126.999802151197,37.5636816560149,api_ok
광 희,퇴계로 303-9 광희동주민센터 4층,중구,127.005037047525,37.5644602798546,api_ok
을 지,을지로28길16(을지로4가),중구,126.998882935177,37.5659601802147,api_ok
신 당,다산로29길10(신당동),중구,127.013520026889,37.5610734880603,api_ok
신일(구:광희문),청구로121(신당동)(2015.04.08.명칭변경),중구,127.010206837137,37.562608668789,api_ok
다 산,동호로12길97(신당동),중구,127.012129898368,37.5594994172797,api_ok
충 현,동호로17나길5-4(신당동),중구,127.0057705215,37.5544760279052,api_ok
장 수,동호로11다길18(신당동),중구,127.007068702877,37.551938026196,api_ok
약 수,다산로10길10-10(신당동),중구,127.01021019977,37.5532436128532,api_ok
동 호,동호로8길42-22(신당동),중구,127.013026856554,37.5524096422086,api_ok
남산숲(구 남산타운1),다산로32(신당동) 3동앞,중구,127.005706247221,37.5471505540187,api_ok
쌈지(구 남산타운2),다산로32(신당동) 25동,중구,127.005706247221,37.5471505540187,api_ok
하늘(구 남산타운3),다산로32(신당동) 관리사무소 옆,중구,127.005706247221,37.5471505540187,api_ok
청 구,청구로3길 69(신당동) 1층,중구,127.014336668451,37.5565273206265,api_ok
약수하이츠,동호로10길30(신당동) 106동옆,중구,127.016359379417,37.5551915990934,api_ok
대양,동호로10길30(신당동) 119동,중구,127.016359379417,37.5551915990934,api_ok
삼성아파트,청구로1길23(신당동) 114동옆,중구,127.01844745293,37.5585358838305,api_ok
